raceId,year,round,circuitId,name,name_number,Country,Location,lat,lng,date,time,url
1,2009,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2009-03-29,06:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2,2009,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2009-04-05,09:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
3,2009,3,17,Chinese Grand Prix,n°3 - Chinese Grand Prix,China,Shanghai,31.3389,121.22,2009-04-19,07:00:00,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
4,2009,4,3,Bahrain Grand Prix,n°4 - Bahrain Grand Prix,Bahrain,Sakhir,26.0325,50.5106,2009-04-26,12:00:00,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
5,2009,5,4,Spanish Grand Prix,n°5 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2009-05-10,12:00:00,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
6,2009,6,6,Monaco Grand Prix,n°6 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2009-05-24,12:00:00,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
7,2009,7,5,Turkish Grand Prix,n°7 - Turkish Grand Prix,Turkey,Istanbul,40.9517,29.405,2009-06-07,12:00:00,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
8,2009,8,9,British Grand Prix,n°8 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2009-06-21,12:00:00,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
9,2009,9,20,German Grand Prix,n°9 - German Grand Prix,Germany,Nürburg,50.3356,9475-06-01,2009-07-12,12:00:00,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
10,2009,10,11,Hungarian Grand Prix,n°10 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2009-07-26,12:00:00,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
11,2009,11,12,European Grand Prix,n°11 - European Grand Prix,Spain,Valencia,39.4589,-0.331667,2009-08-23,12:00:00,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
12,2009,12,13,Belgian Grand Prix,n°12 - Belgian Grand Prix,Belgium,Spa,50.4372,5.97139,2009-08-30,12:00:00,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
13,2009,13,14,Italian Grand Prix,n°13 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2009-09-13,12:00:00,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
14,2009,14,15,Singapore Grand Prix,n°14 - Singapore Grand Prix,Singapore,Marina Bay,2914-01-01,103.864,2009-09-27,12:00:00,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
15,2009,15,22,Japanese Grand Prix,n°15 - Japanese Grand Prix,Japan,Suzuka,34.8431,136.541,2009-10-04,05:00:00,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
16,2009,16,18,Brazilian Grand Prix,n°16 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2009-10-18,16:00:00,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
