constructorStandingsId,raceId,racename,raceround,constructorId,name,nationality,wiki,points,position,positionText,wins
1,18,n°1 - Australian Grand Prix,1,1,McLaren,British,http://en.wikipedia.org/wiki/McLaren,14,1,1,1
2,18,n°1 - Australian Grand Prix,1,2,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,8,3,3,0
3,18,n°1 - Australian Grand Prix,1,3,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,9,2,2,0
4,18,n°1 - Australian Grand Prix,1,4,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,5,4,4,0
5,18,n°1 - Australian Grand Prix,1,5,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,2,5,5,0
6,18,n°1 - Australian Grand Prix,1,6,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,1,6,6,0
7,19,n°2 - Malaysian Grand Prix,2,1,McLaren,Japanese,http://en.wikipedia.org/wiki/McLaren,24,1,1,1
8,19,n°2 - Malaysian Grand Prix,2,2,BMW Sauber,Japanese,http://en.wikipedia.org/wiki/BMW_Sauber,19,2,2,0
9,19,n°2 - Malaysian Grand Prix,2,3,Williams,Austrian,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,9,4,4,0
10,19,n°2 - Malaysian Grand Prix,2,4,Renault,Indian,http://en.wikipedia.org/wiki/Renault_in_Formula_One,6,5,5,0
11,19,n°2 - Malaysian Grand Prix,2,5,Toro Rosso,Japanese,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,2,8,8,0
12,19,n°2 - Malaysian Grand Prix,2,6,Ferrari,Dutch,http://en.wikipedia.org/wiki/Scuderia_Ferrari,11,3,3,1
13,19,n°2 - Malaysian Grand Prix,2,7,Toyota,Russian,http://en.wikipedia.org/wiki/Toyota_Racing,5,6,6,0
14,19,n°2 - Malaysian Grand Prix,2,9,Red Bull,Dutch,http://en.wikipedia.org/wiki/Red_Bull_Racing,2,7,7,0
15,19,n°2 - Malaysian Grand Prix,2,11,Honda,Swiss,http://en.wikipedia.org/wiki/Honda_Racing_F1,0,9,9,0
